Şikayet_Cumlesi;Poliklinik
"Hocam günlerdir canım hiçbir şey çekmiyor, su bile içsem midem bulanıyor.";Dahiliye
"Tuvalete çıkamıyorum kaç gündür, karnım davul gibi şişti patlayacak sanki.";Dahiliye
"Ağzım zehir gibi, sürekli susuyorum ve günde on kere tuvalete koşuyorum.";Dahiliye
"İçim titriyor, halsizlikten yerimden kalkamıyorum, kemiklerim ağrıyor resmen.";Dahiliye
"Yemekten sonra midem yanıyor, boğazıma kadar acı su geliyor duramıyorum.";Dahiliye
"Şekerim mi düştü tansiyonum mu anlamadım ama elim ayağım titriyor, ter boşaldı üstümden.";Dahiliye
"Hocam her yerim şişiyor, tartıda da aniden 3 kilo fazla çıktım, ayaklarım kütük gibi.";Dahiliye
"Sürekli bir uyku halim var, ne kadar uyusam da yorgun uyanıyorum, kolumu kaldıracak halim yok.";Dahiliye
"Sabah kalktığımda kafam çatlıyor sandım, çok fena dönüyor.";Nöroloji
"Sağ kolumda birden uyuşma oldu, karıncalanıyor gibi hissediyorum, bardağı bile zor tuttum.";Nöroloji
"Dünden beri beynim uyuşuk sanki, kelimeleri toparlayıp konuşamıyorum eşim de fark etti.";Nöroloji
"Şakaklarıma öyle bir ağrı giriyor ki ışığa bakamıyorum, midemi de bulandırıyor bu ağrı.";Nöroloji
"Annem dün yediğimiz yemeği bile hatırlamadı, sürekli aynı şeyleri sorup duruyor.";Nöroloji
"Ellerim titriyor çay içerken falan, bazen çenemin de titrediğini hissediyorum.";Nöroloji
"Gece yatarken bacaklarıma bir haller oluyor, sürekli kıpırdatma isteği geliyor uyuyamıyorum.";Nöroloji
"Sol göğsümden sol koluma doğru bir ağrı vuruyor, sanki göğsüme öküz oturdu.";Kardiyoloji
"Hızlı hızlı yürüdüğümde kalbim ağzımdan çıkacak gibi atıyor, nefes nefese kalıyorum.";Kardiyoloji
"Hocam durduk yere çarpıntım başlıyor, içim daralıyor kalbim fırlayacak gibi oluyor.";Kardiyoloji
"Tansiyonumu ölçtüm 18'e fırlamış, ensemden beynime doğru ateş basıyor.";Kardiyoloji
"Merdiven çıkarken tıkanıp kalıyorum, 3. kata çıkana kadar kalbim göğüs kafesimi delecek sanki.";Kardiyoloji
"Dün gece aniden kalbime bir bıçak saplandı sandım, nefesimi kesti resmen.";Kardiyoloji
"Ayak bileklerim çok şişti, bir de yatarken nefes alamıyorum iki yastıkla uyumaya başladım.";Kardiyoloji
"Boğazım jilet yutmuşum gibi acıyor, yutkunurken gözümden yaş geliyor.";Kulak Burun Boğaz (KBB)
"Sağ kulağımda sürekli bir çınlama var, sanki içinde cırcır böceği ötüyor delirtti beni.";Kulak Burun Boğaz (KBB)
"Burnum şelale gibi akıyor, hapşırmaktan içim dışıma çıktı.";Kulak Burun Boğaz (KBB)
"Kulağım tıkanık günlerdir, etrafımdaki sesleri sanki suyun altından duyuyorum.";Kulak Burun Boğaz (KBB)
"Sabah burnumdan kan boşaldı lavaboya, durdurana kadar canım çıktı.";Kulak Burun Boğaz (KBB)
"Alnımda ve gözlerimin arkasında feci bir basınç var, eğilince beynim akacak gibi oluyor.";Kulak Burun Boğaz (KBB)
"Hocam sesim tamamen kısıldı, üç gündür fısıltıyla konuşabiliyorum sadece.";Kulak Burun Boğaz (KBB)
"Gözlerim kan çanağına döndü, sürekli çapaklanıyor ve batma hissi var.";Göz Hastalıkları
"Uzağı artık hiç göremiyorum, tabelalar birbirine giriyor bulanık hep.";Göz Hastalıkları
"Gözümün önünde siyah uçuşan noktalar belirdi, sinek geziyor sanki sürekli.";Göz Hastalıkları
"Akşamları araba kullanırken karşıdan gelen ışıklar gözümü çok alıyor, hiçbir şey göremiyorum.";Göz Hastalıkları
"Sol gözümde inanılmaz bir ağrı var, ışığa bakınca ağrım daha da artıyor.";Göz Hastalıkları
"Çocuğun gözü sürekli sulanıyor, siliyorum siliyorum yine yaş geliyor.";Göz Hastalıkları
"Göz kapağımın üstünde sivilce gibi bir şey çıktı, kırparken fena acıyor.";Göz Hastalıkları
"Hocam kollarım ve bacaklarım harita gibi oldu kızardı, kaşınmaktan derimi yüzeceğim nerdeyse.";Cildiye (Dermatoloji)
"Saçlarım avuç avuç dökülüyor banyoda, kel kalacağım diye çok korkuyorum.";Cildiye (Dermatoloji)
"Yüzümdeki sivilceler ne sürdüysem geçmedi, içi iltihaplı ve inanılmaz ağrı yapıyor.";Cildiye (Dermatoloji)
"Ayak tırnağım sarardı kalınlaştı, ayakkabı giyerken bile sızlıyor artık.";Cildiye (Dermatoloji)
"Sırtımda et beni gibi bir şey çıktı ama sanki rengi de koyulaştı büyüyor gibi, endişelendim.";Cildiye (Dermatoloji)
"Dudağımda kocaman uçuk çıktı, yaraya döndü günlerdir yemek bile yiyemiyorum acısından.";Cildiye (Dermatoloji)
"Ellerimin üzeri pütür pütür oldu ve çok kurudu, krem sürüyorum saniyesinde geri kuruyor.";Cildiye (Dermatoloji)
"Geceleri öksürük krizine giriyorum, ciğerim sökülüyor sanki öksürmekten uyku haram oldu.";Göğüs Hastalıkları
"Nefes alırken göğsümden ıslık gibi bir ses çıkıyor hırıltılı hırıltılı, daralıyorum iyice.";Göğüs Hastalıkları
"Hocam yıllardır sigara içiyorum ama dünkü öksürüğümde peçeteye kan geldi, çok korktum.";Göğüs Hastalıkları
"Derin nefes almaya çalışıyorum ama hava ciğerime yetmiyor, boğulacak gibi oluyorum.";Göğüs Hastalıkları
"Düz yolda bile azıcık tempolu yürüsem tıkanıyorum, hemen oturup dinlenmem gerekiyor.";Göğüs Hastalıkları
"Göğsümde fena bir hırıltı var, balgam çıkarıyorum yeşil yeşil geçmek bilmedi.";Göğüs Hastalıkları
"Aldığım nefes bana yetmiyor sanki birisi boğazımı sıkıyor da hava alamıyorum gibi.";Göğüs Hastalıkları
